file,snake
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\Indian_cobra\n01748264_13512.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\vine_snake\n01739381_4635.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\boa_constrictor\n01742172_9613.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\night_snake\n01740131_356.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\thunder_snake\n01728572_17644.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\thunder_snake\n01728572_11926.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\boa_constrictor\n01742172_3597.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\garter_snake\n01735189_10074.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\green_snake\n01729977_15776.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\diamondback\n01755581_6652.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\hognose_snake\n01729322_18812.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\ringneck_snake\n01728920_15878.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\night_snake\n01740131_16921.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\rock_python\n01744401_4239.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\Indian_cobra\n01748264_12767.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\ringneck_snake\n01728920_244.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\green_mamba\n01749939_5637.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\night_snake\n01740131_13290.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\thunder_snake\n01728572_6989.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\garter_snake\n01735189_482.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\boa_constrictor\n01742172_11375.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\water_snake\n01737021_11445.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\ringneck_snake\n01728920_9829.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\green_snake\n01729977_6220.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\green_snake\n01729977_7552.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\water_snake\n01737021_3801.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\night_snake\n01740131_6776.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\garter_snake\n01735189_1864.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\vine_snake\n01739381_6593.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\Indian_cobra\n01748264_4145.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\green_snake\n01729977_12738.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\green_mamba\n01749939_7804.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\sidewinder\n01756291_6963.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\sidewinder\n01756291_5114.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\horned_viper\n01753488_11570.JPEG,[1]
