file,snake
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\garter_snake\n01735189_11666.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\water_snake\n01737021_756.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\fake_snakes_b0210588-c7a9-42e0-8f4d-acd6df30711a\snake_27.jpeg,[0]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\green_snake\n01729977_9128.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\boa_constrictor\n01742172_6082.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\water_snake\n01737021_24782.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\sidewinder\n01756291_18174.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\Indian_cobra\n01748264_11341.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\thunder_snake\n01728572_26371.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\diamondback\n01755581_122.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\Indian_cobra\n01748264_14662.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\green_snake\n01729977_8669.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\horned_viper\n01753488_11136.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\vine_snake\n01739381_4980.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\rock_python\n01744401_2387.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\rock_python\n01744401_2846.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\vine_snake\n01739381_2002.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\Indian_cobra\n01748264_11754.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\sidewinder\n01756291_16272.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\vine_snake\n01739381_1020.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\boa_constrictor\n01742172_1582.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\ringneck_snake\n01728920_6084.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\thunder_snake\n01728572_9663.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\king_snake\n01734418_6457.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\green_mamba\n01749939_5430.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\sidewinder\n01756291_13517.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\Indian_cobra\n01748264_4147.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\diamondback\n01755581_12878.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\thunder_snake\n01728572_7183.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\sidewinder\n01756291_30214.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\night_snake\n01740131_11758.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\Indian_cobra\n01748264_1683.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\thunder_snake\n01728572_3821.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\boa_constrictor\n01742172_3070.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\night_snake\n01740131_10546.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\ringneck_snake\n01728920_16151.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\ringneck_snake\n01728920_18196.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\garter_snake\n01735189_344.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\fake_snakes_b0210588-c7a9-42e0-8f4d-acd6df30711a\snake_81.jpeg,[0]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\water_snake\n01737021_8261.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\vine_snake\n01739381_4246.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\sidewinder\n01756291_7040.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\boa_constrictor\n01742172_3488.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\water_snake\n01737021_3903.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\vine_snake\n01739381_5004.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\water_snake\n01737021_4012.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\ringneck_snake\n01728920_18858.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\king_snake\n01734418_11420.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\water_snake\n01737021_19795.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\boa_constrictor\n01742172_9123.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\water_snake\n01737021_3590.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\hognose_snake\n01729322_2459.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\sidewinder\n01756291_15724.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\night_snake\n01740131_4028.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\sidewinder\n01756291_17723.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\ringneck_snake\n01728920_2479.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\night_snake\n01740131_2824.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\diamondback\n01755581_11993.JPEG,[1]
C:\Users\smoss\Documents\SnekMaker\ImageNetImages\vine_snake\n01739381_4686.JPEG,[1]
